2018.12.28,419 ,33.00,+8.55%,"232,635,470"
2018.12.29,403 ,16.00,-3.82%,"144,733,135"
2018.12.30,411 ,8.00,+1.99%,"82,160,400"
2018.12.31,396 ,15.00,-3.65%,"69,444,555"
2019.01.01,407 ,11.00,+2.78%,"60,959,741"
2019.01.02,416 ,9.00,+2.21%,"86,523,283"
2019.01.03,401 ,15.00,-3.61%,"56,615,272"
2019.01.04,401 ,0,0.00%,"47,206,633"
2019.01.05,397 ,4.00,-1.00%,"39,210,237"
2019.01.06,408 ,11.00,+2.77%,"54,990,214"
2019.01.07,407 ,1.00,-0.25%,"90,482,944"
2019.01.08,408 ,1.00,+0.25%,"61,642,843"
2019.01.09,410 ,2.00,+0.49%,"54,606,059"
2019.01.10,370 ,40.00,-9.76%,"228,668,386"
2019.01.11,372 ,2.00,+0.54%,"78,234,138"
2019.01.12,372 ,0,0.00%,"37,116,776"
2019.01.13,354 ,18.00,-4.84%,"58,599,889"
2019.01.14,373 ,19.00,+5.37%,"77,628,946"
2019.01.15,365 ,8.00,-2.14%,"50,909,489"
2019.01.16,368 ,3.00,+0.82%,"43,823,141"
2019.01.17,366 ,2.00,-0.54%,"38,870,927"
2019.01.18,361 ,5.00,-1.37%,"30,667,385"
2019.01.19,367 ,6.00,+1.66%,"45,791,846"
2019.01.20,356 ,11.00,-3.00%,"42,005,296"
2019.01.21,357 ,1.00,+0.28%,"29,108,626"
2019.01.22,358 ,1.00,+0.28%,"45,763,652"
2019.01.23,353 ,5.00,-1.40%,"23,740,077"
2019.01.24,352 ,1.00,-0.28%,"20,852,456"
2019.01.25,348 ,4.00,-1.14%,"27,446,538"
2019.01.26,348 ,0,0.00%,"20,613,165"
2019.01.27,341 ,7.00,-2.01%,"23,529,244"
2019.01.28,325 ,16.00,-4.69%,"67,288,598"
2019.01.29,319 ,6.00,-1.85%,"36,604,547"
