317 ,3.00,+0.96%,"12,575,867"
318 ,1.00,+0.32%,"11,392,492"
311 ,7.00,-2.20%,"17,631,117"
365 ,54.00,+17.36%,"150,945,020"
371 ,6.00,+1.64%,"81,101,860"
506 ,135,+36.39%,"267,162,318"
628 ,122,+24.11%,"880,294,889"
641 ,13.00,+2.07%,"622,448,870"
640 ,1.00,-0.16%,"203,899,685"
555 ,85.00,-13.28%,"190,231,685"
595 ,40.00,+7.21%,"345,118,162"
579 ,16.00,-2.69%,"395,326,144"
605 ,26.00,+4.49%,"160,139,902"
603 ,2.00,-0.33%,"117,470,909"
634 ,31.00,+5.14%,"220,253,268"
651 ,17.00,+2.68%,"287,204,151"
644 ,7.00,-1.08%,"283,074,688"
585 ,59.00,-9.16%,"105,057,568"
600 ,15.00,+2.56%,"136,955,175"
600 ,0,0.00%,"78,853,857"
590 ,10.00,-1.67%,"57,959,991"
554 ,36.00,-6.10%,"80,354,835"
547 ,7.00,-1.26%,"59,616,063"
557 ,10.00,+1.83%,"62,619,409"
